NVAR: 56 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zHD zHDERR z zERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB SIM_TYPE_INDEX SIM_NONIA_INDEX SIM_ZCMB SIM_DLMAG SIM_PKMJD SIMx1 SIMc SIMbeta SIM_x0 SIM_mb SIMZ MWEBV T0GAPMAX delmu RA DECL MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE SIM_MU SIM_MB 

# SALT2mu fit results: 
#  NSNFIT   = 349    [ true CC/(Ia+CC) = 0.0000) ] 
#  -2log(L) = 323.41    
#  chi2(Ia)/dof = 323.41/348 = 0.986    
#  sigint   = 0.1100  (1 iterations)
#  Omega_L        =      0.69237 +-    0.01293   
#  M0avg          =    -30.00500 
#  m0-M0avg chi2/dof = 0.0 / -1 
 
SN: 13 13 10 101 E1 1 0.46677 0.00100 0.46782 0.00100 -9 -9 10.9471 7.5551 7.2623 56665.348 0.642 -4.03515e-01 0.5999 -5.23310e-02 5.34045e-02 22.8959 7.09650e-02 1.24633e-05 8.41830e-07 1.31236e-02 -3.42141e-07 -2.36468e-08 28 36.4405 0.1317 1 0 0.4677 42.0876 56665.465 0.1933 7.97111e-02 3.2000 1.18510e-05 22.9506 0.4677 7.70000e-03 6.8181 0.2771 9.314187 -43.896923  42.3769 42.0771  0.1929  0.1584  0.300  1.555 0 42.0876 12.3156 
SN: 14 14 10 101 C1 1 0.58490 0.00100 0.58607 0.00100 -9 -9 20.0673 14.4853 12.0720 57007.477 0.558 0.8030 0.4146 4.12958e-03 3.73497e-02 23.0044 4.26013e-02 1.12785e-05 4.51336e-07 2.86459e-03 -1.06545e-07 -8.17811e-09 56 64.9203 0.1938 1 0 0.5862 42.6777 57008.164 1.1319 -9.50616e-03 3.2000 1.01036e-05 23.1238 0.5862 3.21120e-02 4.4676 -2.15071e-01 40.648430 -0.619304  42.4736 42.6653  0.1642  0.1219 -0.192 -1.168 0 42.6777 12.4888 
SN: 18 18 10 101 C1 1 0.66898 0.00100 0.67033 0.00100 -9 -9 10.8121 8.5895 7.4354 56974.898 1.035 0.7690 0.7948 -4.78741e-02 5.75183e-02 23.4961 7.35300e-02 7.17040e-06 5.02426e-07 1.48101e-02 -2.99406e-07 -1.16081e-08 64 81.2189 8.43693e-02 1 0 0.6688 43.0258 56975.645 0.2033 -1.90276e-02 3.2000 6.68989e-06 23.5715 0.6688 2.63330e-02 4.6117 8.35040e-02 35.900455 -3.651287  43.1270 43.0193  0.2288  0.2006  0.108  0.471 0 43.0258 12.9365 
SN: 19 19 10 101 S2 1 0.61268 0.00100 0.61388 0.00100 -9 -9 7.2024 6.3401 5.5773 56548.734 1.034 1.4769 0.8856 0.2041 6.32865e-02 23.6042 8.16280e-02 6.49140e-06 5.06852e-07 8.40870e-03 -3.39805e-07 -1.45905e-08 59 50.5254 0.8033 1 0 0.6122 42.7920 56549.055 1.8891 0.1076 3.2000 7.10015e-06 23.5068 0.6122 3.38920e-02 5.5451 -2.82980e-01 40.549747 -0.773541  42.5278 42.7874  0.2617  0.2374 -0.260 -0.992 0 42.7920 12.8718 
SN: 21 21 10 101 S1 1 0.51435 0.00100 0.51541 0.00100 -9 -9 16.8465 12.5855 10.1151 56546.066 0.556 -1.40518e+00 0.4094 -1.80446e-02 3.99951e-02 22.7614 4.94592e-02 1.41070e-05 6.57486e-07 4.53103e-03 -1.25243e-07 -1.53779e-08 56 58.2598 0.3922 1 0 0.5132 42.3292 56546.711 -1.00427e+00 -4.83052e-02 3.2000 1.18551e-05 22.9502 0.5132 5.98960e-02 5.2662 -3.59422e-01 43.213989 -0.032503  41.9924 42.3291  0.1595  0.1155 -0.337 -2.111 0 42.3292 12.3152 
SN: 22 22 10 101 C3 1 0.88216 0.00100 0.88289 0.00100 -9 -9 11.4582 9.8417 7.4461 56674.047 0.586 -1.97789e+00 0.4266 -1.07720e-01 4.74628e-02 24.3378 5.22180e-02 3.30285e-06 1.62731e-07 4.63947e-03 -3.69598e-08 -5.85869e-10 29 16.9041 0.9737 1 0 0.8801 43.7577 56674.391 -1.78788e+00 -7.20101e-02 3.2000 3.08311e-06 24.4125 0.8801 8.22300e-03 3.6907 -2.15400e-03 52.911640 -28.045252  43.7756 43.7551  0.1991  0.1659  0.021  0.103 0 43.7577 13.7775 
SN: 23 23 10 101 C3 1 0.46557 0.00100 0.46665 0.00100 -9 -9 15.2587 12.5204 11.3382 56966.312 0.464 -1.92648e+00 0.4019 0.1051 4.70724e-02 23.2364 6.41910e-02 9.10867e-06 5.54762e-07 7.33845e-03 -1.34419e-07 -2.07704e-08 47 34.5860 0.9268 1 0 0.4650 42.0727 56966.352 -1.31051e+00 0.1049 3.2000 9.18879e-06 23.2269 0.4650 7.87500e-03 4.7382 -9.28360e-02 7.329565 -43.720509  42.0003 42.0704  0.1564  0.1112 -0.070 -0.448 0 42.0727 12.5919 
SN: 24 24 10 101 S2 1 0.31031 0.00100 0.31125 0.00100 -9 -9 20.8537 18.9776 13.4098 57032.297 0.522 -2.04979e-01 0.6132 0.2716 4.16080e-02 22.3489 6.21638e-02 2.06267e-05 1.21545e-06 9.99980e-03 -3.80149e-07 -4.12545e-08 23 17.2348 0.8385 1 0 0.3096 41.0341 57032.434 -3.71462e-02 0.2330 3.2000 1.93214e-05 22.4199 0.3096 5.84500e-02 5.3265 -2.38117e-01 42.455204 0.966030  40.8211 41.0365  0.1554  0.1098 -0.215 -1.386 0 41.0341 11.7849 
SN: 25 25 10 101 S2 1 0.41111 0.00100 0.41228 0.00100 -9 -9 9.0679 8.1892 7.9584 56910.617 0.676 -4.82432e-01 0.5246 0.1831 5.50845e-02 22.8445 8.05405e-02 1.30680e-05 1.00625e-06 8.98549e-03 -3.34139e-07 -4.19897e-08 47 40.2937 0.7776 1 0 0.4126 41.7639 56910.723 -2.85962e-01 0.1181 3.2000 1.34034e-05 22.8170 0.4126 1.96260e-02 8.4084 -2.12501e-01 34.446236 -4.618167  41.5610 41.7499  0.1817  0.1447 -0.189 -1.040 0 41.7639 12.1820 
SN: 29 29 10 101 E2 1 0.42098 0.00100 0.42199 0.00100 -9 -9 19.6361 16.8259 12.1887 56985.742 0.528 1.5009 0.4711 9.76667e-02 3.46206e-02 22.6865 4.42153e-02 1.51154e-05 6.28262e-07 4.96026e-03 -1.83562e-07 -1.39417e-08 50 36.5546 0.9364 1 0 0.4212 41.8170 56985.742 1.1296 8.44587e-02 3.2000 1.69187e-05 22.5641 0.4212 7.69300e-03 7.0296 0.1206 9.482892 -44.364407  41.9540 41.8108  0.1539  0.1076  0.143  0.931 0 41.8170 11.9291 
SN: 30 30 10 101 S2 1 0.28071 0.00100 0.28119 0.00100 -9 -9 52.6906 48.0152 41.4455 56595.238 0.241 5.18449e-02 0.1774 -1.54308e-01 2.46764e-02 20.9752 3.09061e-02 7.30983e-05 2.11069e-06 3.24664e-04 -1.06659e-07 -3.89640e-08 41 24.7334 0.9844 1 0 0.2803 40.7854 56595.254 -2.40443e-01 -1.09157e-01 3.2000 6.48767e-05 21.1048 0.2803 9.65000e-03 6.2168 4.10810e-02 53.708694 -28.412979  40.8463 40.7861  0.1286  0.0666  0.060  0.468 0 40.7854 10.4698 
